wave/AA   f_lambda/F_Ha
      393.440  8.30257e-12
      395.488  8.42866e-12
      397.384  8.62234e-12
      399.474  8.89157e-12
      401.409  9.23877e-12
      403.363  9.67109e-12
      405.516  1.01949e-11
      407.510  1.08253e-11
      409.524  1.15685e-11
      411.558  1.24426e-11
      413.612  1.34572e-11
      415.686  1.46376e-11
      417.782  1.59968e-11
      419.899  1.75668e-11
      422.037  1.91896e-11
      424.000  2.12855e-11
      426.180  2.36983e-11
      428.383  2.64850e-11
      430.406  2.97252e-11
      432.653  3.34721e-11
      434.924  3.78345e-11
      437.009  4.29906e-11
      439.114  4.89868e-11
      441.453  5.60788e-11
      443.601  6.44834e-11
      445.770  7.44499e-11
      447.961  8.63545e-11
      450.395  9.43606e-11
      452.632  1.09820e-10
      454.890  1.28419e-10
      457.172  1.51000e-10
      459.476  1.78496e-10
      461.803  2.12240e-10
      463.919  2.54090e-10
      466.292  3.06097e-10
      468.689  3.71618e-10
      471.111  4.54518e-10
      473.313  5.60940e-10
      475.783  6.98560e-10
      478.028  8.79850e-10
      480.548  1.12060e-09
      482.839  1.44797e-09
      485.410  1.90126e-09
      487.747  2.54951e-09
      490.371  3.50863e-09
      492.757  5.01406e-09
      495.166  7.57837e-09
      497.598  1.25787e-08
      500.055  2.46131e-08
      502.536  6.29896e-08
      505.042  1.96685e-07
      507.572  3.36403e-08
      510.129  5.83436e-09
      512.711  6.23119e-09
      515.319  6.55727e-09
      517.955  6.65931e-09
      520.617  7.01993e-09
      523.307  7.56975e-09
      525.721  7.76764e-09
      528.464  8.15935e-09
      530.926  8.56689e-09
      533.724  4.58338e-10
      536.551  5.76893e-10
      539.089  4.60127e-10
      541.652  4.66381e-10
      544.564  4.76165e-10
      547.179  4.90283e-10
      550.151  5.08384e-10
      552.820  5.31300e-10
      555.515  5.60135e-10
      558.236  5.95675e-10
      560.985  6.38979e-10
      563.760  6.97451e-10
      566.915  7.64620e-10
      569.750  8.48120e-10
      572.613  9.51818e-10
      575.142  1.08176e-09
      578.060  6.29697e-11
      581.007  6.15836e-11
      583.985  1.08883e-10
      586.993  5.91218e-11
      590.032  5.79608e-11
      592.718  5.69825e-11
      595.817  5.58105e-11
      598.949  5.47015e-11
      601.716  5.36640e-11
      604.910  5.73707e-11
      607.733  6.64963e-11
      610.992  8.26103e-11
      613.872  1.01164e-10
      617.197  1.18535e-10
      620.136  1.33857e-10
      623.103  1.46804e-10
      626.529  1.56803e-09
      629.558  1.65892e-10
      632.616  1.72721e-10
      635.704  1.78167e-10
      638.823  1.82530e-10
      641.972  1.86030e-10
      645.609  1.88847e-10
      648.826  1.91027e-10
      652.074  1.92901e-10
      655.356  1.94400e-10
      658.671  1.95575e-10
      661.538  1.96847e-10
      664.916  1.97467e-10
      668.328  1.97873e-10
      671.776  1.98047e-10
      675.259  1.98016e-10
      678.274  1.97930e-10
      681.825  1.97521e-10
      685.414  1.96938e-10
      688.520  1.96334e-10
      692.179  1.95438e-10
      695.878  1.94446e-10
      699.080  1.93461e-10
      702.853  1.92260e-10
      706.119  1.91117e-10
      709.969  1.89782e-10
      713.302  1.88553e-10
      716.667  1.87280e-10
      720.632  1.85910e-10
      724.067  1.84691e-10
      727.534  1.83519e-10
      731.621  1.82271e-10
      735.161  1.81483e-10
      738.736  1.80604e-10
      742.345  1.79858e-10
      745.990  1.79307e-10
      749.671  1.78970e-10
      753.388  1.78889e-10
      757.143  1.79099e-10
      760.935  1.79643e-10
      764.765  1.80620e-10
      768.634  1.82045e-10
      772.542  1.83995e-10
      776.491  1.86587e-10
      780.479  1.89938e-10
      784.509  1.94139e-10
      788.581  1.99361e-10
      792.007  2.03462e-10
      796.157  2.10574e-10
      800.351  2.19455e-10
      803.880  2.30257e-10
      808.156  2.43166e-10
      812.478  2.58733e-10
      816.115  2.77763e-10
      820.522  3.00718e-10
      824.232  3.28845e-10
      828.727  3.63467e-10
      832.511  4.06480e-10
      837.098  4.59774e-10
      840.959  5.27865e-10
      845.640  6.14234e-10
